code,entity,n_years,pearson_r,p_value
MOZ,Mozambique,44,-0.26545970410545433,0.08158434768879677
MRT,Mauritania,63,0.13753763704602484,0.28240656729501096
MUS,Mauritius,64,-0.03628902803554629,0.7758861180157186
MWI,Malawi,64,0.33265991042525417,0.00723594552834608
MYS,Malaysia,64,-0.000930467804253321,0.9941778634747671
NAM,Namibia,44,-0.09412548758361544,0.5433630391400682
NER,Niger,64,0.055894504748243506,0.6608889417996944
NGA,Nigeria,56,0.26137190982644126,0.05168065192498847
NIC,Nicaragua,64,0.2789476690397897,0.02560785243472941
NLD,Netherlands,64,0.06673328316998152,0.6003280427886258
NOR,Norway,64,0.26740621117989244,0.03266685910055539
NPL,Nepal,64,-0.023848590948995056,0.8516175146655601
NZL,New Zealand,64,-0.1385579495910044,0.2748798597320525
OMN,Oman,52,-0.3566589585990172,0.00944941670756203
OWID_AFR,Africa,320,0.23893640295442503,1.5586310454683892e-05
OWID_ASI,Asia,456,-0.1769854304972563,0.0001452615119502226
OWID_EUR,Europe,98,-0.16712256803321582,0.1000128608299668
OWID_NAM,North America,64,-0.2782572528802948,0.025990504175188923
OWID_WRL,World,122,0.003403709241202764,0.970318938669626
PAK,Pakistan,58,0.06250503405631569,0.6411310874619903
PAN,Panama,64,0.07567515014067612,0.5522964714105085
PER,Peru,64,0.02338929386988773,0.8544437481356945
PHL,Philippines,64,0.1556914546653982,0.2192627906032303
PNG,Papua New Guinea,64,0.3797027426641284,0.0019712002288574657
POL,Poland,34,-0.026612933452506538,0.881237499056863
PRT,Portugal,64,-0.006893186026755767,0.9568879702237726
PRY,Paraguay,64,0.18681412193297503,0.1393798357402028
QAT,Qatar,19,-0.1302816907707074,0.5949986143822202
ROU,Romania,34,-0.16942419697105804,0.3381123794466969
RUS,Russia,35,-0.19997814229366823,0.24940293460050805
RWA,Rwanda,64,0.1930250140192117,0.12646877091533382
SAU,Saudi Arabia,22,0.018524566718068694,0.9347876676131668
SDN,Sudan,64,0.06859764526172817,0.5901627175935562
SEN,Senegal,64,-0.011300305878029077,0.9293811444293131
SGP,Singapore,62,0.19634525745882248,0.12614266361879295
SLB,Solomon Islands,44,-0.03216213539945747,0.8358136058711034
SLE,Sierra Leone,57,0.3565037052421254,0.006489187931393403
SLV,El Salvador,59,-0.003003518084002732,0.9819877848634192
SRB,Serbia,29,0.023527358044988678,0.9035785012306146
STP,Sao Tome and Principe,54,0.31144511774790296,0.021880582367015525
SUR,Suriname,64,0.27888401255572104,0.02564293288117311
SVK,Slovakia,34,-0.1557606705835434,0.3790503312578896
SVN,Slovenia,34,-0.09012318101679942,0.6122380635158329
SWE,Sweden,64,0.044857533281478734,0.7248647578291995
SWZ,Eswatini,54,0.24197554157361373,0.07792678437996142
SYC,Seychelles,57,-0.07908076562502087,0.558725033828563
SYR,Syria,62,0.10499722784859103,0.41669278287089084
TCD,Chad,64,-0.07356137759748256,0.5634829652707004
TGO,Togo,63,-0.024898511149594807,0.846412091635216
THA,Thailand,64,-0.04144331052870885,0.7450662556841431
TJK,Tajikistan,39,0.4062649327483179,0.010278271983607302
TKM,Turkmenistan,37,0.17331030239118372,0.30498057440000725
TTO,Trinidad and Tobago,63,-0.21236862153193575,0.09472380077102462
TUN,Tunisia,63,-0.33848408169436645,0.006658989692028119
TUR,Turkey,64,0.19204312208359683,0.1284471062482537
TZA,Tanzania,60,0.03257924451642737,0.8048194496967568
UGA,Uganda,42,0.6018119321423054,2.4891709709959512e-05
UKR,Ukraine,37,-0.43356514019693776,0.007345614603990254
URY,Uruguay,64,0.14774299685865544,0.24399646866494717
USA,United States,64,-0.35489600968552615,0.004008193061447044
UZB,Uzbekistan,37,0.40736739267692107,0.012332774966773884
VEN,Venezuela,64,0.32304076587186487,0.009225005292030308
VUT,Vanuatu,45,0.11369008358078649,0.4571118313496436
YEM,Yemen,28,0.5990760569827656,0.0007558614211950988
ZAF,South Africa,64,-0.008499557913623161,0.946854380866575
ZMB,Zambia,64,0.1901406243671066,0.13234695378689051
ZWE,Zimbabwe,64,0.03763809758565158,0.7677839027166914
