peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.26599999999999996,57.0,0.568,1990,False,TJK,Tajikistan,Asia
1990,0.568,1994,0.291,0.27699999999999997,4,False,,,0.48,2007,False,TJK,Tajikistan,Asia
2009,0.48,2021,0.4,0.07999999999999996,12,False,,,0.446,2024,False,TJK,Tajikistan,Asia
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.23200000000000004,55.0,0.534,1988,False,TKM,Turkmenistan,Asia
1988,0.534,1992,0.258,0.276,4,False,,,0.437,2025,False,TKM,Turkmenistan,Asia
2003,0.373,2005,0.293,0.08000000000000002,2,True,0.064,20.0,0.437,2025,False,TKM,Turkmenistan,Asia
2013,0.778,2017,0.726,0.052000000000000046,4,False,,,0.768,2024,False,TLS,East Timor,Asia
1968,0.607,1971,0.571,0.03600000000000003,3,True,0.29600000000000004,44.0,0.903,2015,False,TTO,Trinidad and Tobago,North America
2012,0.864,2014,0.821,0.04300000000000004,2,True,0.02200000000000002,7.0,0.886,2021,False,TUN,Tunisia,Africa
2021,0.886,2023,0.686,0.19999999999999996,2,False,,,0.774,2024,True,TUN,Tunisia,Africa
1938,0.441,1955,0.407,0.03400000000000003,17,True,0.20500000000000002,57.0,0.646,2012,False,TUR,Turkey,Asia
1969,0.506,1980,0.445,0.061,11,True,0.14,32.0,0.646,2012,False,TUR,Turkey,Asia
2012,0.646,2017,0.564,0.08200000000000007,5,False,,,0.576,2020,False,TUR,Turkey,Asia
1933,0.179,1938,0.137,0.04199999999999998,5,True,0.726,82.0,0.905,2020,False,TWN,Taiwan,Asia
1963,0.422,1972,0.33,0.09199999999999997,9,True,0.40499999999999997,37.0,0.827,2009,False,UGA,Uganda,Africa
2009,0.827,2023,0.662,0.16499999999999992,14,False,,,0.707,2024,True,UGA,Uganda,Africa
2006,0.854,2014,0.808,0.04599999999999993,8,True,0.03500000000000003,9.0,0.889,2023,False,UKR,Ukraine,Europe
1967,0.643,1974,0.423,0.22000000000000003,7,True,0.259,44.0,0.902,2018,False,URY,Uruguay,South America
