peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
2013,0.622,2016,0.592,0.030000000000000027,3,True,0.04700000000000004,9.0,0.669,2025,False,JOR,Jordan,Asia
2019,0.651,2023,0.588,0.06300000000000006,4,True,0.018000000000000016,2.0,0.669,2025,True,JOR,Jordan,Asia
2011,0.815,2015,0.775,0.039999999999999925,4,True,0.029000000000000026,10.0,0.844,2025,False,JPN,Japan,Asia
2017,0.813,2021,0.781,0.03199999999999992,4,True,0.031000000000000028,4.0,0.844,2025,False,JPN,Japan,Asia
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.49700000000000005,83.0,0.799,2016,False,KAZ,Kazakhstan,Asia
2016,0.799,2018,0.767,0.03200000000000003,2,False,,,0.796,2021,False,KAZ,Kazakhstan,Asia
2022,0.796,2024,0.728,0.06800000000000006,2,False,,,0.728,2024,True,KAZ,Kazakhstan,Asia
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.49800000000000005,81.0,0.8,2014,False,KGZ,Kyrgyzstan,Asia
1994,0.64,2005,0.589,0.051000000000000045,11,True,0.16000000000000003,9.0,0.8,2014,False,KGZ,Kyrgyzstan,Asia
2014,0.8,2023,0.72,0.08000000000000007,9,False,,,0.753,2024,True,KGZ,Kyrgyzstan,Asia
2010,0.6,2024,0.504,0.09599999999999997,14,False,,,0.534,2025,True,KHM,Cambodia,Asia
1999,0.338,2002,0.307,0.031000000000000028,3,True,0.07099999999999995,18.0,0.409,2020,False,KWT,Kuwait,Asia
2009,0.4,2016,0.363,0.03700000000000003,7,True,0.008999999999999952,4.0,0.409,2020,False,KWT,Kuwait,Asia
2020,0.409,2024,0.365,0.043999999999999984,4,False,,,0.365,2024,True,KWT,Kuwait,Asia
1892,0.176,1940,0.091,0.08499999999999999,48,True,0.332,85.0,0.508,2025,False,LAO,Laos,Asia
1959,0.23,1975,0.169,0.061,16,True,0.278,50.0,0.508,2025,False,LAO,Laos,Asia
1993,0.556,1997,0.488,0.06800000000000006,4,True,0.30699999999999994,13.0,0.863,2010,False,LBR,Liberia,Africa
2010,0.863,2020,0.82,0.04300000000000004,10,False,,,0.831,2022,False,LBR,Liberia,Africa
2012,0.437,2017,0.347,0.09000000000000002,5,False,,,0.434,2024,False,LBY,Libya,Africa
1969,0.633,1987,0.568,0.06500000000000006,18,True,0.14700000000000002,32.0,0.78,2019,False,LKA,Sri Lanka,Asia
2019,0.78,2023,0.675,0.10499999999999998,4,False,,,0.742,2025,True,LKA,Sri Lanka,Asia
2015,0.807,2019,0.749,0.05800000000000005,4,True,0.027999999999999914,3.0,0.835,2022,False,LSO,Lesotho,Africa
2022,0.835,2024,0.781,0.05399999999999994,2,False,,,0.809,2025,True,LSO,Lesotho,Africa
1924,0.529,1949,0.332,0.197,25,True,0.401,59.0,0.93,2008,False,LTU,Lithuania,Europe
2008,0.93,2015,0.896,0.03400000000000003,7,False,,,0.928,2022,False,LTU,Lithuania,Europe
1922,0.625,1949,0.332,0.293,27,True,0.32699999999999996,72.0,0.952,2021,False,LVA,Latvia,Europe
1863,0.336,1921,0.143,0.19300000000000003,58,True,0.455,93.0,0.791,2014,False,MDG,Madagascar,Africa
1999,0.669,2002,0.636,0.03300000000000003,3,True,0.122,12.0,0.791,2014,False,MDG,Madagascar,Africa
2008,0.748,2010,0.671,0.07699999999999996,2,True,0.04300000000000004,4.0,0.791,2014,False,MDG,Madagascar,Africa
2014,0.791,2024,0.714,0.07700000000000007,10,False,,,0.714,2024,True,MDG,Madagascar,Africa
2008,0.617,2016,0.481,0.136,8,False,,,0.593,2021,False,MDV,Maldives,Asia
2021,0.593,2024,0.538,0.05499999999999994,3,False,,,0.538,2024,True,MDV,Maldives,Asia
1940,0.291,1942,0.207,0.08399999999999999,2,True,0.571,70.0,0.862,2012,False,MKD,North Macedonia,Europe
1964,0.595,1967,0.554,0.040999999999999925,3,True,0.267,45.0,0.862,2012,False,MKD,North Macedonia,Europe
1990,0.702,1992,0.591,0.11099999999999999,2,True,0.16000000000000003,20.0,0.862,2012,False,MKD,North Macedonia,Europe
2012,0.862,2022,0.816,0.04600000000000004,10,False,,,0.834,2024,True,MKD,North Macedonia,Europe
2001,0.725,2013,0.644,0.08099999999999996,12,True,0.010000000000000009,8.0,0.735,2021,False,MLI,Mali,Africa
2016,0.696,2018,0.658,0.03799999999999992,2,True,0.039000000000000035,3.0,0.735,2021,False,MLI,Mali,Africa
2021,0.735,2023,0.695,0.040000000000000036,2,False,,,0.729,2024,True,MLI,Mali,Africa
1899,0.296,1945,0.222,0.07399999999999998,46,True,0.334,75.0,0.63,2020,False,MMR,Myanmar,Asia
1957,0.367,1964,0.141,0.226,7,True,0.263,56.0,0.63,2020,False,MMR,Myanmar,Asia
2020,0.63,2023,0.333,0.297,3,False,,,0.333,2023,True,MMR,Myanmar,Asia
2017,0.873,2023,0.784,0.08899999999999997,6,False,,,0.81,2024,True,MNG,Mongolia,Asia
2012,0.78,2024,0.698,0.08200000000000007,12,False,,,0.725,2025,True,MOZ,Mozambique,Africa
1976,0.334,1979,0.282,0.052000000000000046,3,True,0.328,43.0,0.662,2022,False,MRT,Mauritania,Africa
2022,0.662,2024,0.577,0.08500000000000008,2,False,,,0.577,2024,True,MRT,Mauritania,Africa
2019,0.848,2023,0.776,0.07199999999999995,4,False,,,0.814,2025,True,MUS,Mauritius,Africa
2013,0.786,2017,0.756,0.030000000000000027,4,True,0.03499999999999992,5.0,0.821,2022,False,MWI,Malawi,Africa
2022,0.821,2024,0.764,0.05699999999999994,2,False,,,0.764,2024,True,MWI,Malawi,Africa
1939,0.456,1941,0.369,0.08700000000000002,2,True,0.341,79.0,0.797,2020,False,MYS,Malaysia,Asia
1963,0.6,1969,0.568,0.03200000000000003,6,True,0.19700000000000006,51.0,0.797,2020,False,MYS,Malaysia,Asia
1994,0.611,1999,0.559,0.051999999999999935,5,True,0.17400000000000004,23.0,0.785,2022,False,NER,Niger,Africa
2004,0.684,2009,0.598,0.08600000000000008,5,True,0.10099999999999998,13.0,0.785,2022,False,NER,Niger,Africa
2017,0.765,2021,0.735,0.030000000000000027,4,True,0.020000000000000018,1.0,0.785,2022,False,NER,Niger,Africa
2017,0.732,2020,0.683,0.04899999999999993,3,False,,,0.732,2025,False,NGA,Nigeria,Africa
1909,0.159,1934,0.123,0.036000000000000004,25,True,0.598,82.0,0.757,2016,False,NIC,Nicaragua,North America
1994,0.75,2000,0.614,0.136,6,True,0.007000000000000006,16.0,0.757,2016,False,NIC,Nicaragua,North America
2016,0.757,2024,0.526,0.23099999999999998,8,False,,,0.531,2025,True,NIC,Nicaragua,North America
1810,0.282,1813,0.226,0.055999999999999966,3,True,0.643,197.0,0.925,2010,False,NLD,Netherlands,Europe
1924,0.489,1941,0.402,0.08699999999999997,17,True,0.43600000000000005,69.0,0.925,2010,False,NLD,Netherlands,Europe
2011,0.925,2022,0.868,0.05700000000000005,11,False,,,0.903,2025,True,NLD,Netherlands,Europe
1935,0.623,1944,0.475,0.14800000000000002,9,True,0.32899999999999996,60.0,0.952,2004,False,NOR,Norway,Europe
2004,0.952,2021,0.907,0.04499999999999993,17,False,,,0.929,2024,False,NOR,Norway,Europe
1994,0.504,1996,0.473,0.031000000000000028,2,True,0.28800000000000003,29.0,0.792,2025,False,NPL,Nepal,Asia
2009,0.774,2013,0.659,0.11499999999999999,4,True,0.018000000000000016,12.0,0.792,2025,False,NPL,Nepal,Asia
1947,0.575,1961,0.439,0.13599999999999995,14,False,,,0.538,1975,False,OWID_DRV,Democratic Republic of Vietnam,Asia
1830,0.19306667,1850,0.15066667,0.04239999999999999,20,True,0.70118333,166.0,0.89425,2016,False,OWID_EUR,Europe,
1866,0.1785,1868,0.134,0.044499999999999984,2,True,0.71575,148.0,0.89425,2016,False,OWID_EUR,Europe,
1878,0.329,1881,0.215,0.11400000000000002,3,True,0.56525,135.0,0.89425,2016,False,OWID_EUR,Europe,
1932,0.45710716,1943,0.35865384,0.09845332000000001,11,True,0.43714284,73.0,0.89425,2016,False,OWID_EUR,Europe,
1894,0.222,1896,0.177,0.04500000000000001,2,True,0.5666,120.0,0.7886,2016,False,OWID_NAM,North America,
1899,0.334,1901,0.24023077,0.09376923000000001,2,True,0.45459999999999995,115.0,0.7886,2016,False,OWID_NAM,North America,
1829,0.336,1943,0.259,0.07700000000000001,114,True,0.04999999999999999,25.0,0.386,1968,False,OWID_RVN,Republic of Vietnam,Asia
1970,0.44483334,1976,0.41316667,0.03166667000000001,6,True,0.37858330999999995,47.0,0.82341665,2023,False,OWID_SAM,South America,
1997,0.524,2018,0.395,0.129,21,False,,,0.474,2024,False,OWID_SML,Somaliland,
1798,0.291,1850,0.192,0.09899999999999998,52,False,,,0.193,1859,False,OWID_TUS,Tuscany,
1966,0.438,1970,0.393,0.044999999999999984,4,True,0.07400000000000001,16.0,0.512,1986,False,OWID_YPR,Yemen People's Republic,Asia
2012,0.726,2020,0.674,0.051999999999999935,8,False,,,0.705,2023,False,OWID_ZAN,Zanzibar,
1962,0.325,1972,0.279,0.045999999999999985,10,True,0.291,40.0,0.616,2012,False,PAK,Pakistan,Asia
1976,0.343,1980,0.247,0.09600000000000003,4,True,0.27299999999999996,32.0,0.616,2012,False,PAK,Pakistan,Asia
2012,0.616,2024,0.506,0.10999999999999999,12,False,,,0.524,2025,True,PAK,Pakistan,Asia
1979,0.495,1982,0.42,0.07500000000000001,3,True,0.31700000000000006,40.0,0.812,2022,False,PAN,Panama,North America
1826,0.302,1930,0.219,0.08299999999999999,104,True,0.5329999999999999,89.0,0.835,2019,False,PER,Peru,South America
1947,0.367,1949,0.289,0.07800000000000001,2,True,0.46799999999999997,70.0,0.835,2019,False,PER,Peru,South America
1961,0.47,1969,0.347,0.123,8,True,0.365,50.0,0.835,2019,False,PER,Peru,South America
1991,0.641,1993,0.599,0.04200000000000004,2,True,0.19399999999999995,26.0,0.835,2019,False,PER,Peru,South America
2019,0.835,2024,0.788,0.04699999999999993,5,False,,,0.788,2024,True,PER,Peru,South America
1940,0.395,1942,0.179,0.21600000000000003,2,True,0.45399999999999996,69.0,0.849,2011,False,PHL,Philippines,Asia
1970,0.599,1973,0.485,0.11399999999999999,3,True,0.25,38.0,0.849,2011,False,PHL,Philippines,Asia
2012,0.849,2021,0.788,0.06099999999999994,9,False,,,0.81,2025,False,PHL,Philippines,Asia
2012,0.474,2021,0.415,0.059,9,True,0.006000000000000005,3.0,0.48,2024,False,PNG,Papua New Guinea,Oceania
1794,0.13,1832,0.098,0.032,38,True,0.801,183.0,0.931,2015,False,POL,Poland,Europe
1934,0.608,1944,0.468,0.13999999999999996,10,True,0.32300000000000006,71.0,0.931,2015,False,POL,Poland,Europe
1980,0.71,1982,0.574,0.136,2,True,0.22100000000000009,33.0,0.931,2015,False,POL,Poland,Europe
