code,entity,region,edi,idv,gini_mkt,labsh,beta,edi_tier,idv_tier,gini_tier,labsh_tier,beta_tier
OWID_NAM,North America,,0.58606666,,,,,hybrid,no_data,no_data,no_data,no_data
OWID_OCE,Oceania,,0.682,,,,,democratic,no_data,no_data,no_data,no_data
OWID_PMA,Parma,,0.043,,,,,authoritarian,no_data,no_data,no_data,no_data
OWID_RVN,Republic of Vietnam,Asia,0.315,,,,,hybrid,no_data,no_data,no_data,no_data
OWID_SAM,South America,,0.64925,,,,,hybrid,no_data,no_data,no_data,no_data
OWID_SML,Somaliland,,0.445,,,,,hybrid,no_data,no_data,no_data,no_data
OWID_TUS,Tuscany,,0.126,,,,,authoritarian,no_data,no_data,no_data,no_data
OWID_WRL,World,,0.48281565,,,,,hybrid,no_data,no_data,no_data,no_data
OWID_YAR,Yemen Arab Republic,Asia,0.224,,,,,authoritarian,no_data,no_data,no_data,no_data
OWID_YPR,Yemen People's Republic,Asia,0.132,,,,,authoritarian,no_data,no_data,no_data,no_data
OWID_ZAN,Zanzibar,,0.309,,,,,hybrid,no_data,no_data,no_data,no_data
PAK,Pakistan,Asia,0.302,14.0,34.1,,0.53309971,hybrid,collectivist,low_inequality,no_data,mid
PAN,Panama,North America,0.728,11.0,50.2,0.4411408375610003,0.63924366,democratic,collectivist,high_inequality,low_labsh,low_mobility
PER,Peru,South America,0.667,16.0,45.3,0.5463817268610001,0.38955319,democratic,collectivist,mid,mid,mid
PHL,Philippines,Asia,0.392,32.0,40.3,0.4369663620317304,0.25488123,hybrid,mid,low_inequality,low_labsh,high_mobility
PNG,Papua New Guinea,Oceania,0.467,,48.6,,0.36874709,hybrid,no_data,high_inequality,no_data,high_mobility
POL,Poland,Europe,0.768,60.0,46.4,0.575993010291347,0.46150252,democratic,individualist,mid,mid,mid
PRK,North Korea,Asia,0.083,,,,,authoritarian,no_data,no_data,no_data,no_data
PRT,Portugal,Europe,0.822,27.0,49.9,0.6568014798937616,0.48136628,democratic,collectivist,high_inequality,high_labsh,mid
PRY,Paraguay,South America,0.581,,46.9,0.4631669692797204,0.62797111,hybrid,no_data,mid,low_labsh,low_mobility
QAT,Qatar,Asia,0.034,,39.1,0.2639010465807385,,authoritarian,no_data,low_inequality,low_labsh,no_data
ROU,Romania,Europe,0.605,30.0,42.9,0.5610232586041095,0.54568124,hybrid,mid,mid,mid,mid
RUS,Russia,Europe,0.17,39.0,42.6,0.5163819991490421,0.32659701,authoritarian,mid,mid,mid,high_mobility
RWA,Rwanda,Africa,0.193,,49.4,0.75841261446476,0.47168246,authoritarian,no_data,high_inequality,high_labsh,mid
SAU,Saudi Arabia,Asia,0.016,,49.3,0.3248771578073502,,authoritarian,no_data,high_inequality,low_labsh,no_data
SDN,Sudan,Africa,0.13,,46.2,0.7247092856301202,0.96075016,authoritarian,no_data,mid,high_labsh,low_mobility
SEN,Senegal,Africa,0.633,,41.3,0.4899108721874652,0.72357816,hybrid,no_data,mid,mid,low_mobility
SGP,Singapore,Asia,0.434,20.0,41.3,0.4299780433066191,,hybrid,collectivist,mid,low_labsh,no_data
SLB,Solomon Islands,Oceania,0.696,,44.1,,0.57691717,democratic,no_data,mid,no_data,low_mobility
SLE,Sierra Leone,Africa,0.471,,41.0,0.5435487871820277,0.6071074,hybrid,no_data,mid,mid,low_mobility
SLV,El Salvador,North America,0.321,19.0,36.5,0.4842485937536978,0.48509118,hybrid,collectivist,low_inequality,mid,mid
SOM,Somalia,Africa,0.165,,37.3,,,authoritarian,no_data,low_inequality,no_data,no_data
SRB,Serbia,Europe,0.3,25.0,50.0,0.6297668534166673,0.40267646,authoritarian,collectivist,high_inequality,high_labsh,mid
SSD,South Sudan,Africa,0.133,,48.2,,0.58704418,authoritarian,no_data,high_inequality,no_data,low_mobility
STP,Sao Tome and Principe,Africa,0.632,,,0.738317966461182,0.32833943,hybrid,no_data,no_data,high_labsh,high_mobility
SUR,Suriname,South America,0.781,47.0,47.9,0.4659619553416386,,democratic,mid,high_inequality,low_labsh,no_data
SVK,Slovakia,Europe,0.733,52.0,37.0,0.5123174067805795,0.41270131,democratic,mid,low_inequality,mid,mid
SVN,Slovenia,Europe,0.692,27.0,40.4,0.6606824766187107,0.40748894,democratic,collectivist,low_inequality,high_labsh,mid
SWE,Sweden,Europe,0.889,71.0,49.2,0.6376914551129214,0.34454814,democratic,individualist,high_inequality,high_labsh,high_mobility
SWZ,Eswatini,Africa,0.128,,54.6,0.6270017718726938,0.43353063,authoritarian,no_data,high_inequality,high_labsh,mid
SYC,Seychelles,Africa,0.76,,39.6,,,democratic,no_data,low_inequality,no_data,no_data
SYR,Syria,Asia,0.128,,35.2,,,authoritarian,no_data,low_inequality,no_data,no_data
TCD,Chad,Africa,0.242,,42.5,0.4692161702550948,0.81650531,authoritarian,no_data,mid,low_labsh,low_mobility
TGO,Togo,Africa,0.351,,44.5,0.6018495796756311,1.2253147,hybrid,no_data,mid,high_labsh,low_mobility
THA,Thailand,Asia,0.424,20.0,38.4,0.4394572232220626,0.31678095,hybrid,collectivist,low_inequality,low_labsh,high_mobility
TJK,Tajikistan,Asia,0.158,,43.4,0.4592365920543671,0.38518548,authoritarian,no_data,mid,low_labsh,mid
TKM,Turkmenistan,Asia,0.148,,43.1,,,authoritarian,no_data,mid,no_data,no_data
TLS,East Timor,Asia,0.736,,,,1.2218089,democratic,no_data,no_data,no_data,low_mobility
TTO,Trinidad and Tobago,North America,0.786,16.0,46.2,0.4876633004562277,,democratic,collectivist,mid,mid,no_data
TUN,Tunisia,Africa,0.395,,39.3,0.5356519347988072,0.60772079,hybrid,no_data,low_inequality,mid,low_mobility
TUR,Turkey,Asia,0.293,37.0,46.9,0.428521766453176,0.39141187,authoritarian,mid,mid,low_labsh,mid
TWN,Taiwan,Asia,0.801,17.0,32.1,0.7247490850213456,0.34553161,democratic,collectivist,low_inequality,high_labsh,high_mobility
TZA,Tanzania,Africa,0.365,,40.6,0.4785328651778402,0.40290028,hybrid,no_data,low_inequality,low_labsh,mid
UGA,Uganda,Africa,0.253,,45.6,,0.51756573,authoritarian,no_data,mid,no_data,mid
UKR,Ukraine,Europe,0.386,,32.7,0.5539983300601738,0.4626219,hybrid,no_data,low_inequality,mid,mid
URY,Uruguay,South America,0.862,36.0,49.6,0.5141803102718815,0.54940313,democratic,mid,high_inequality,mid,low_mobility
USA,United States,North America,0.735,91.0,52.5,0.6167349493181384,0.32846853,democratic,individualist,high_inequality,high_labsh,high_mobility
UZB,Uzbekistan,Asia,0.218,,40.4,0.4192721177549923,0.30667275,authoritarian,no_data,low_inequality,low_labsh,high_mobility
VEN,Venezuela,South America,0.181,12.0,37.1,0.4352223078745441,0.35417426,authoritarian,collectivist,low_inequality,low_labsh,high_mobility
VNM,Vietnam,Asia,0.146,20.0,36.8,,0.35118878,authoritarian,collectivist,low_inequality,no_data,high_mobility
VUT,Vanuatu,Oceania,0.729,,38.7,,0.47510615,democratic,no_data,low_inequality,no_data,mid
YEM,Yemen,Asia,0.127,,38.5,,0.27207252,authoritarian,no_data,low_inequality,no_data,high_mobility
ZAF,South Africa,Africa,0.743,,69.6,0.58238764469688,0.87220198,democratic,no_data,high_inequality,mid,low_mobility
ZMB,Zambia,Africa,0.497,,57.1,0.4277130918226383,0.41763854,hybrid,no_data,high_inequality,low_labsh,mid
ZWE,Zimbabwe,Africa,0.268,,49.6,0.5951306743281226,,authoritarian,no_data,high_inequality,high_labsh,no_data
