entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
Afghanistan,221,-0.9208352039269915,-0.7959999999999999,0.035982152406034335,1938.1464259049214,0.005000000000002936,0.44453073130068166,ok
Africa,126,-0.8479615918949349,0.027891462386587292,0.038136174007247725,1987.8346447398833,0.186102445895923,0.9963631351096597,ok
Africa (population-weighted),126,-0.9055520124419802,-0.15944576177913486,0.13891426620976866,1998.4825519378242,3.687664698765767,0.9910889950068295,ok
Albania,114,-0.7599668593629197,-0.14008706536919774,0.3330233128359958,1945.7765158992233,0.005000000000000001,0.8959404521370764,ok
Algeria,126,-0.9478996492313793,-0.1684858925604412,0.04116996974975676,1970.5580867347837,0.005000000000000001,0.8758351562314491,ok
Angola,126,-0.9087166407256819,0.13198452191668422,0.0532996750016535,1985.4680807014317,0.00500000000000003,0.9723824260190875,ok
Argentina,190,-0.8822349459767359,-0.005954846781523179,0.7132729896835578,1998.5925275049763,19.99999999263763,0.9113435436233679,ok
Armenia,96,-0.5954191556933167,-0.2739583502034482,0.45718004119995614,1944.0928773203452,0.6015280019563302,0.29093723350882883,ok
Asia,126,-0.8624206519384081,-0.02393483572833766,0.023501388563890988,1978.0673861209302,0.005000000000012426,0.9913913076765747,ok
Asia (population-weighted),237,-0.7425676934876136,-0.22020208785823617,0.09602468451007452,1951.8808350380107,0.6842925131849398,0.9872260516186145,ok
Australia,160,-0.778113546044181,-0.005930908515336508,0.15772967209361008,1981.4682663025453,3.0066489245918784,0.9934604588653373,ok
Austria,170,-0.7898733448782006,0.10719655454739244,0.03938143868475763,1964.017314952511,0.005000000000000389,0.9756460573619808,ok
Azerbaijan,201,-0.8568143803023462,-0.22585256374216434,0.42971538135490006,1945.8948988687441,9.557744821013936,0.9087133927609223,ok
Bangladesh,170,-0.5661138063494795,-0.4793038671603411,0.20273318808917262,1972.2785240094054,0.7899331969734691,0.7203603922575952,ok
Barbados,111,-0.516254495851977,-0.064505386457439,0.061444143704884366,1958.4146829228694,0.00500000000000008,0.9617938728976118,ok
Belarus,219,-0.853217941649963,-0.1510229105085313,0.24868330312387618,1946.5201183803342,5.381568372875834,0.9258397262078089,ok
Belgium,135,-0.8272767495837736,0.0009709113063768927,0.07010018576990841,1953.640716826541,2.013063426820632,0.9654448364886268,ok
Benin,126,-0.44982107759474704,-0.11617953965518575,0.04002751053383698,1975.700917194621,0.005000000000000001,0.9055106665076067,ok
Bhutan,126,-0.7456710033984357,-0.18839275959289697,0.887302177068127,2012.8176575333814,19.99999999926418,0.9251313840011762,ok
Bolivia,127,-1.0286761905539368,0.017678149163185376,0.22047480673677902,2002.7251362891045,9.160291402605163,0.9649672344479043,ok
Bosnia and Herzegovina,195,-0.9418459445345511,0.08191361301989769,0.02356488118385066,1959.457397981353,0.0050000000207613,0.9668606495039122,ok
Botswana,126,-0.9389618841657218,-0.38212395054432347,0.9999999999994997,1997.7470044513639,14.307073600713402,0.9595849545222666,ok
Brazil,161,-0.9384240417966976,-0.16572886958802674,0.5206326481217308,1998.0017659733862,19.99999999997951,0.9407917752681968,ok
Bulgaria,214,-0.9983336523674218,-0.03584900084467968,0.4385691500395895,1950.2730681429016,19.999999999998046,0.9760338879358221,ok
Burkina Faso,92,-0.778671774069383,-0.3253048328085737,0.2328530478110108,1988.4681025258294,19.99777446864978,0.5906178011856501,ok
